Month,Price
Feb 1997,3.45
Mar 1997,2.15
Apr 1997,1.89
May 1997,2.03
Jun 1997,2.25
Jul 1997,2.20
Aug 1997,2.19
Sep 1997,2.49
Oct 1997,2.88
Nov 1997,3.07
Dec 1997,3.01
Jan 1998,2.35
Feb 1998,2.09
Mar 1998,2.23
Apr 1998,2.24
May 1998,2.43
Jun 1998,2.14
Jul 1998,2.17
Aug 1998,2.17
Sep 1998,1.85
Oct 1998,2.02
Nov 1998,1.91
Dec 1998,2.12
Jan 1999,1.72
Feb 1999,1.85
Mar 1999,1.77
Apr 1999,1.79
May 1999,2.15
Jun 1999,2.26
Jul 1999,2.30
Aug 1999,2.31
Sep 1999,2.79
Oct 1999,2.55
Nov 1999,2.73
Dec 1999,2.37
Jan 2000,2.36
Feb 2000,2.42
Mar 2000,2.66
Apr 2000,2.79
May 2000,3.04
Jun 2000,3.59
Jul 2000,4.29
Aug 2000,3.99
Sep 2000,4.43
Oct 2000,5.06
Nov 2000,5.02
Dec 2000,5.52
Jan 2001,8.90
Feb 2001,8.17
Mar 2001,5.61
Apr 2001,5.23
May 2001,5.19
Jun 2001,4.19
Jul 2001,3.72
Aug 2001,3.11
Sep 2001,2.97
Oct 2001,2.19
Nov 2001,2.46
Dec 2001,2.34
Jan 2002,2.30
Feb 2002,2.32
Mar 2002,2.32
Apr 2002,3.03
May 2002,3.43
Jun 2002,3.50
Jul 2002,3.26
Aug 2002,2.99
Sep 2002,3.09
Oct 2002,3.55
Nov 2002,4.13
Dec 2002,4.04
Jan 2003,4.74
Feb 2003,5.43
Mar 2003,7.71
Apr 2003,5.93
May 2003,5.26
Jun 2003,5.81
Jul 2003,5.82
Aug 2003,5.03
Sep 2003,4.98
Oct 2003,4.62
Nov 2003,4.63
Dec 2003,4.47
Jan 2004,6.13
Feb 2004,6.14
Mar 2004,5.37
Apr 2004,5.39
May 2004,5.71
Jun 2004,6.33
Jul 2004,6.27
Aug 2004,5.93
Sep 2004,5.41
Oct 2004,5.15
Nov 2004,6.35
Dec 2004,6.17
Jan 2005,6.58
Feb 2005,6.15
Mar 2005,6.14
Apr 2005,6.96
May 2005,7.16
Jun 2005,6.47
Jul 2005,7.18
Aug 2005,7.63
Sep 2005,9.53
Oct 2005,11.75
Nov 2005,13.42
Dec 2005,10.30
Jan 2006,13.05
Feb 2006,8.69
Mar 2006,7.54
Apr 2006,6.89
May 2006,7.16
Jun 2006,6.24
Jul 2006,6.21
Aug 2006,6.17
Sep 2006,7.14
Oct 2006,4.90
Nov 2006,5.85
Dec 2006,7.40
Jan 2007,6.73
Feb 2007,6.55
Mar 2007,8.00
Apr 2007,7.11
May 2007,7.60
Jun 2007,7.64
Jul 2007,7.35
Aug 2007,6.22
Sep 2007,6.22
Oct 2007,6.08
Nov 2007,6.74
Dec 2007,7.10
Jan 2008,7.10
Feb 2008,7.99
Mar 2008,8.54
Apr 2008,9.41
May 2008,10.18
Jun 2008,11.27
Jul 2008,12.69
Aug 2008,11.09
Sep 2008,8.26
Oct 2008,7.67
Nov 2008,6.74
Dec 2008,6.68
Jan 2009,5.82
Feb 2009,5.24
Mar 2009,4.51
Apr 2009,3.96
May 2009,3.49
Jun 2009,3.83
Jul 2009,3.80
Aug 2009,3.38
Sep 2009,3.14
Oct 2009,2.99
Nov 2009,4.01
Dec 2009,3.66
Jan 2010,5.35
Feb 2010,5.83
Mar 2010,5.32
Apr 2010,4.29
May 2010,4.03
Jun 2010,4.14
Jul 2010,4.80
Aug 2010,4.63
Sep 2010,4.31
Oct 2010,3.89
Nov 2010,3.43
Dec 2010,3.71
Jan 2011,4.25
Feb 2011,4.49
Mar 2011,4.09
Apr 2011,3.97
May 2011,4.24
Jun 2011,4.31
Jul 2011,4.54
Aug 2011,4.42
Sep 2011,4.05
Oct 2011,3.90
Nov 2011,3.57
Dec 2011,3.24
Jan 2012,3.17
Feb 2012,2.67
Mar 2012,2.50
Apr 2012,2.17
May 2012,1.95
Jun 2012,2.43
Jul 2012,2.46
Aug 2012,2.95
Sep 2012,2.84
Oct 2012,2.85
Nov 2012,3.32
Dec 2012,3.54
Jan 2013,3.34
Feb 2013,3.33
Mar 2013,3.33
Apr 2013,3.81
May 2013,4.17
Jun 2013,4.04
Jul 2013,3.83
Aug 2013,3.62
Sep 2013,3.43
Oct 2013,3.62
Nov 2013,3.68
Dec 2013,3.64
Jan 2014,4.24
Feb 2014,4.71
Mar 2014,6.00
Apr 2014,4.90
May 2014,4.66
Jun 2014,4.58
Jul 2014,4.59
Aug 2014,4.05
Sep 2014,3.91
Oct 2014,3.92
Nov 2014,3.78
Dec 2014,4.12
Jan 2015,3.48
Feb 2015,2.99
Mar 2015,2.87
Apr 2015,2.83
May 2015,2.61
Jun 2015,2.85
Jul 2015,2.78
Aug 2015,2.84
Sep 2015,2.77
Oct 2015,2.66
Nov 2015,2.34
Dec 2015,2.09
Jan 2016,1.93
Feb 2016,2.28
Mar 2016,1.99
Apr 2016,1.73
May 2016,1.92
Jun 2016,1.92
Jul 2016,2.59
Aug 2016,2.82
Sep 2016,2.82
Oct 2016,2.99
Nov 2016,2.98
Dec 2016,2.55
Jan 2017,3.59
Feb 2017,3.30
Mar 2017,2.85
Apr 2017,2.88
May 2017,3.10
Jun 2017,3.15
Jul 2017,2.98
Aug 2017,2.98
Sep 2017,2.90
Oct 2017,2.98
Nov 2017,2.88
Dec 2017,3.01
Jan 2018,2.82
Feb 2018,3.88
Mar 2018,2.67
Apr 2018,2.69
May 2018,2.80
Jun 2018,2.80
Jul 2018,2.97
Aug 2018,2.83
Sep 2018,2.96
Oct 2018,3.00
Nov 2018,3.28
Dec 2018,4.09
Jan 2019,4.04
Feb 2019,3.11
Mar 2019,2.69
Apr 2019,2.95
May 2019,2.65
Jun 2019,2.64
Jul 2019,2.40
Aug 2019,2.37
Sep 2019,2.22
Oct 2019,2.56
Nov 2019,2.33
Dec 2019,2.66
Jan 2020,2.22